Brand,Product-Name,Shade Name,Shade Color,Type,R,G,B,H,S,L,Undertone
Implora,Check Blossom Blush on ,01 coral peach,#f0a58e,Powder Blush on ,240,165,142,14,77,75,neutral
Implora,Check Blossom Blush on ,02 dusty rose,#e3a0a2,Powder Blush on ,227,160,162,358,54,76,cool
Implora,Check Blossom Blush on ,03 pink candy,#ff8697,Powder Blush on ,255,134,151,352,100,76,cool
Implora,Check Blossom Blush on ,04 sweet salmon,#fe9a94,Powder Blush on ,254,154,148,3,98,79,cool
Tarte,Amazonian Clay 12-hours blush,celebrated,#eeb8b2,Powder Blush on ,238,184,178,6,64,82,neutral
Tarte,Amazonian Clay 12-hours blush,exposed,#c78c81,Powder Blush on ,199,140,129,9,38,64,neutral
Tarte,Amazonian Clay 12-hours blush,peaceful,#df8e8b,Powder Blush on ,223,142,139,2,57,71,neutral
Tarte,Amazonian Clay 12-hours blush,dollface,#e08eb0,Powder Blush on ,224,142,176,335,57,72,cool
Tarte,Amazonian Clay 12-hours blush,blushing bride,#ce7f8c,Powder Blush on ,206,127,140,350,45,65,cool
Tarte,Amazonian Clay 12-hours blush,natural beauty,#be5363,Powder Blush on ,190,83,99,351,45,54,cool
Tarte,Amazonian Clay 12-hours blush,captivating,#ea9689,Powder Blush on ,234,150,137,8,70,73,warm
Tarte,Amazonian Clay 12-hours blush,tipsy,#e67774,Powder Blush on ,230,119,116,2,70,68,warm
Tarte,Amazonian Clay 12-hours blush,glisten,#ec7e70,Powder Blush on ,236,126,112,7,77,68,warm
Pinkflash,Oh My Honey,heart signal,#d87576,Powder Blush on,216,117,118,359,56,65,cool
Pinkflash,Oh My Honey,dopamine,#e37c7d,Powder Blush on,227,124,125,359,65,69,cool
Pinkflash,Oh My Honey,love paint,#ed8086,Powder Blush on,237,128,134,357,75,72,cool
Pinkflash,Oh My Honey,melon melon,#c97874,Powder Blush on,201,120,116,3,44,62,warm
Pinkflash,Oh My Honey,vacance,#d57f50,Powder Blush on,213,127,80,21,61,57,warm
Pinkflash,Oh My Honey,sunset,#b36453,Powder Blush on,179,100,83,11,39,51,warm
Pinkflash,Oh My Honey,ripe fig,#c8856b,Powder Blush on,200,133,107,17,46,60,neutral
Pinkflash,Oh My Honey,dazzle me,#90574e,Powder Blush on,144,87,78,8,30,44,neutral
Pinkflash,Oh My Honey,daybreak,#9d5a4a,Powder Blush on,157,90,74,12,36,45,neutral
Esqa,Esqa blush,pose,#cb6b6c,Powder Blush on,203,107,108,359,48,61,neutral
Esqa,Esqa blush,still,#d86e7a,Powder Blush on,216,110,122,353,58,64,warm
Esqa,Esqa blush,honolulu,#f39e7d,Powder Blush on,243,158,125,17,83,72,neutral
