Brand,Product-Name,Shade Name,Shade Color,Type,R,G,B,H,S,L,Undertone
Somethinc,Copy Paste Tinted Sunscreen SPF 40 PA++++,C01 Perle,#f0d0c3,Tinted Sunscreen,240,208,195,17,60,85,cool
Somethinc,Copy Paste Tinted Sunscreen SPF 40 PA++++,C0.15 Butter,#e7c7b0,Tinted Sunscreen,231,199,176,25,53,80,cool
Somethinc,Copy Paste Tinted Sunscreen SPF 40 PA++++,C02 Serene,#e5bca6,Tinted Sunscreen,229,188,166,21,55,77,cool
Somethinc,Copy Paste Tinted Sunscreen SPF 40 PA++++,C03 eclair,#e6bd9d,Tinted Sunscreen,230,189,157,26,59,76,cool
Somethinc,Copy Paste Tinted Sunscreen SPF 40 PA++++,N01 Nina,#e8c2ad,Tinted Sunscreen,232,194,173,21,56,79,neutral
Somethinc,Copy Paste Tinted Sunscreen SPF 40 PA++++,N02 Charlotte,#e5b891,Tinted Sunscreen,229,184,145,28,62,73,neutral
Somethinc,Copy Paste Tinted Sunscreen SPF 40 PA++++,N2.5 Linen,#dcaf88,Tinted Sunscreen,220,175,136,28,55,70,neutral
Somethinc,Copy Paste Tinted Sunscreen SPF 40 PA++++,N03 Alter,#dda67d,Tinted Sunscreen,221,166,125,26,59,68,neutral
Somethinc,Copy Paste Tinted Sunscreen SPF 40 PA++++,W01 Bijoux,#ebc6a9,Tinted Sunscreen,235,198,169,26,62,79,warm
Somethinc,Copy Paste Tinted Sunscreen SPF 40 PA++++,W02 Coco,#c8a178,Tinted Sunscreen,200,161,120,31,42,63,warm
Somethinc,Copy Paste Tinted Sunscreen SPF 40 PA++++,W03 Goddes,#d9a880,Tinted Sunscreen,217,168,128,27,54,68,warm
Somethinc,Copy Paste Tinted Sunscreen SPF 40 PA++++,W04 Tiffany,#c58b5d,Tinted Sunscreen,197,139,93,27,47,57,warm
Somethinc,Copy Paste Breathable Mesh Cushion SPF 33 PA++ ,Perle,#eccac0,Cushion,236,202,192,14,54,84,cool
Somethinc,Copy Paste Breathable Mesh Cushion SPF 33 PA++ ,Butter,#eac7b3,Cushion,234,199,179,22,57,81,cool
Somethinc,Copy Paste Breathable Mesh Cushion SPF 33 PA++ ,Serene,#deb194,Cushion,222,177,148,24,53,73,cool
Somethinc,Copy Paste Breathable Mesh Cushion SPF 33 PA++ ,Eclair,#ebb996,Cushion,235,185,150,25,68,75,cool
Somethinc,Copy Paste Breathable Mesh Cushion SPF 33 PA++ ,Nina,#e9ba99,Cushion,233,186,153,25,65,76,neutral
Somethinc,Copy Paste Breathable Mesh Cushion SPF 33 PA++ ,Charlotte,#e3ae8c,Cushion,227,174,140,23,61,72,neutral
Somethinc,Copy Paste Breathable Mesh Cushion SPF 33 PA++ ,Linen,#ecb890,Cushion,236,184,144,26,71,75,neutral
Somethinc,Copy Paste Breathable Mesh Cushion SPF 33 PA++ ,Alter,#db9d74,Cushion,219,157,116,24,59,66,neutral
