Brand,Product-Name,Shade Name,Shade Color,Type,R,G,B,H,S,L,Undertone
Hanasui,Mattedorable Lip Cream,kiss,#b23134,Lip Cream,178,49,52,359,57,45,unknown
Hanasui,Mattedorable Lip Cream,posh,#b9496a,Lip Cream,185,73,106,342,44,51,unknown
Hanasui,Mattedorable Lip Cream,star,#b54a5b,Lip Cream,181,74,91,350,42,50,unknown
Hanasui,Mattedorable Lip Cream,chic,#b85a60,Lip Cream,184,90,96,356,40,54,unknown
Hanasui,Mattedorable Lip Cream,classy,#ac625c,Lip Cream,172,98,92,5,33,52,unknown
Hanasui,Mattedorable Lip Cream,ritz,#c45d51,Lip Cream,196,93,81,6,49,54,unknown
Hanasui,Mattedorable Lip Cream,spark,#c27870,Lip Cream,194,120,112,6,40,60,unknown
Hanasui,Mattedorable Lip Cream,fancy,#c96a4a,Lip Cream,201,106,74,15,54,54,unknown
Hanasui,Mattedorable Lip Cream,fame,#be635b,Lip Cream,190,99,91,5,43,55,unknown
Hanasui,Mattedorable Lip Cream,allure,#b55e51,Lip Cream,181,94,81,8,40,51,unknown
Hanasui,Mattedorable Lip Cream,brick,#923929,Lip Cream,146,57,41,9,56,37,unknown
Hanasui,Mattedorable Lip Cream,amaze,#d66e63,Lip Cream,214,110,99,6,58,61,unknown
Hanasui,Mattedorable Lip Cream,adore,#ce6271,Lip Cream,206,98,113,352,52,60,unknown
Hanasui,Mattedorable Lip Cream,dusty,#dc7e7c,Lip Cream,220,126,124,1,58,67,unknown
Hanasui,Mattedorable Lip Cream,flame,#97333b,Lip Cream,151,51,59,355,50,40,unknown
Hanasui,Mattedorable Lip Cream,glam,#8c2f28,Lip Cream,140,47,40,4,56,35,unknown
Somethinc,OMBRELLA Lip Totem Tint ,nikola,#e4c7ca,Lip Tint,228,199,202,354,35,84,cool
Somethinc,OMBRELLA Lip Totem Tint ,savage,#b96262,Lip Tint,185,98,98,0,38,55,cool
Somethinc,OMBRELLA Lip Totem Tint ,twinnie,#de7669,Lip Tint,222,118,105,7,64,64,cool
Somethinc,OMBRELLA Lip Totem Tint ,renee,#d57586,Lip Tint,213,117,134,349,53,65,cool
Somethinc,OMBRELLA Lip Totem Tint ,ikr,#944c5c,Lip Tint,148,76,92,347,32,44,cool
Somethinc,OMBRELLA Lip Totem Tint ,high,#da6277,Lip Tint,218,98,119,350,62,62,cool
Somethinc,OMBRELLA Lip Totem Tint ,hottie,#d36a6f,Lip Tint,211,106,111,357,54,62,cool
Somethinc,OMBRELLA Lip Totem Tint ,doze,#ca8e80,Lip Tint,202,142,128,11,41,65,cool
Somethinc,OMBRELLA Lip Totem Tint ,soul,#e2a79c,Lip Tint,226,167,156,9,55,75,cool
Somethinc,OMBRELLA Lip Totem Tint ,crush,#d6a8a4,Lip Tint,214,168,164,5,38,74,cool
Somethinc,OMBRELLA Lip Totem Tint ,sushi,#e9aead,Lip Tint,234,174,173,1,58,80,warm
Somethinc,OMBRELLA Lip Totem Tint ,bonbon,#e59b9e,Lip Tint,229,155,158,358,59,75,warm
Somethinc,OMBRELLA Lip Totem Tint ,cleo,#f1bca5,Lip Tint,241,188,165,18,73,80,warm
Somethinc,OMBRELLA Lip Totem Tint ,pie,#dea196,Lip Tint,222,161,150,9,52,73,warm
Somethinc,OMBRELLA Lip Totem Tint ,tobiko,#ebb396,Lip Tint,235,179,150,20,68,75,warm
Somethinc,OMBRELLA Lip Totem Tint ,yolo,#ebb5ba,Lip Tint,235,181,186,354,57,82,warm
Somethinc,OMBRELLA Lip Totem Tint ,bond,#df8e74,Lip Tint,223,142,116,15,63,66,warm
Somethinc,OMBRELLA Lip Totem Tint ,lurve,#dfa09f,Lip Tint,223,160,159,1,50,75,warm
Somethinc,OMBRELLA Lip Totem Tint ,noble,#c48e8a,Lip Tint,196,142,138,4,33,65,warm
Somethinc,OMBRELLA Lip Totem Tint ,mute,#d2908b,Lip Tint,210,144,139,4,44,68,warm
Somethinc,OMBRELLA Lip Totem Tint ,kewl,#dfb6a5,Lip Tint,223,182,165,18,48,76,warm
Somethinc,OMBRELLA Lip Totem Tint ,hayg,#dfbcc0,Lip Tint,223,188,192,353,35,81,nude
Somethinc,OMBRELLA Lip Totem Tint ,seoul,#edbda3,Lip Tint,237,189,163,21,67,78,nude
Somethinc,OMBRELLA Lip Totem Tint ,tysm,#da9b8e,Lip Tint,218,155,142,10,51,71,nude
Somethinc,OMBRELLA Lip Totem Tint ,wdyt,#d29f9b,Lip Tint,210,159,155,4,38,72,nude
Somethinc,OMBRELLA Lip Totem Tint ,wucu,#d7b1ab,Lip Tint,215,177,171,8,35,76,nude
Somethinc,OMBRELLA Lip Totem Tint ,underground,#c18f87,Lip Tint,193,143,135,8,32,64,nude
Somethinc,OMBRELLA Lip Totem Tint ,undercover,#b67676,Lip Tint,182,118,118,0,30,59,nude
Somethinc,Checkmatte,soleyn,#d65f5e,Lip Stick,214,95,94,1,59,60,warm
Somethinc,Checkmatte,halo,#d1765d,Lip Stick,209,118,93,13,56,59,warm
Somethinc,Checkmatte,bishop,#e18371,Lip Stick,225,131,113,10,65,66,warm
Somethinc,Checkmatte,witty,#df6c71,Lip Stick,223,108,113,357,64,65,warm
Somethinc,Checkmatte,cold,#d87973,Lip Stick,216,121,115,4,56,65,cool
Somethinc,Checkmatte,swipe,#ec745d,Lip Stick,236,116,93,10,79,65,warm
Somethinc,Checkmatte,joker,#c54736,Lip Stick,197,71,54,7,57,49,warm
Somethinc,Checkmatte,paladin ,#b83135,Lip Stick,184,49,53,358,58,46,warm
Somethinc,Checkmatte,grandmaster,#b95a4b,Lip Stick,185,90,75,8,44,51,warm
Somethinc,Checkmatte,knight,#b73750,Lip Stick,183,55,80,348,54,47,cool
Somethinc,Checkmatte,queen,#a82837,Lip Stick,168,40,55,353,62,41,cool
Somethinc,Checkmatte,mage,#9a2337,Lip Stick,154,35,55,350,63,37,cool
